timestep	normalized_wasserstein	kl_divergence
0	2.109621	1.756411
1	1.689596	0.883791
2	2.010740	0.823420
3	1.571966	0.674635
4	1.548517	0.560870
5	1.537390	0.490333
6	1.639172	0.442093
7	1.500857	0.395237
8	1.264601	0.368641
9	1.206217	0.407138
10	1.182491	0.398270
11	1.300219	0.373283
12	1.217798	0.374819
13	1.285353	0.360428
14	1.168713	0.407271
15	1.219079	0.355910
16	1.091582	0.357881
17	1.080843	0.364866
18	1.054268	0.357070
19	1.143309	0.352757
20	1.159643	0.351869
21	0.983505	0.346129
22	1.025151	0.391463
23	1.000814	0.302718
24	0.963884	0.326265
25	0.989658	0.387500
26	0.960616	0.341105
27	0.836648	0.322531
28	0.999309	0.349821
29	0.940609	0.350408
30	0.845832	0.306722
31	0.918492	0.323458
32	0.844711	0.283945
33	0.894619	0.317236
34	0.946667	0.339607
35	0.884926	0.315602
36	0.792199	0.298981
37	0.765450	0.299747
38	0.893978	0.330303
39	0.793495	0.304042
40	0.857276	0.326829
41	0.816832	0.310406
42	0.847538	0.329564
43	0.749797	0.325075
44	0.815525	0.317068
45	0.835915	0.303700
46	0.746371	0.300031
47	0.804013	0.343903
48	0.817023	0.324059
49	0.809907	0.381491
50	0.821326	0.318850
51	0.910724	0.310500
52	0.808516	0.294782
53	0.765632	0.319710
54	0.779256	0.308090
55	0.756578	0.281345
56	0.702294	0.292221
57	0.731122	0.319197
58	0.703404	0.286203
59	0.664611	0.308473
60	0.670941	0.252986
61	0.753678	0.309641
62	0.674721	0.322010
63	0.640194	0.301068
64	0.690363	0.285453
65	0.643001	0.315530
66	0.701670	0.280692
67	0.681918	0.306170
68	0.619890	0.300348
69	0.653526	0.293836
70	0.642672	0.321660
71	0.626380	0.306313
72	0.735326	0.293163
73	0.665349	0.278089
74	0.699518	0.281386
75	0.654084	0.292050
76	0.617688	0.263373
77	0.722161	0.248197
78	0.624640	0.275665
79	0.633050	0.301897
80	0.712380	0.269165
81	0.598692	0.266668
82	0.607785	0.283539
83	0.554810	0.296297
84	0.620363	0.250111
85	0.603423	0.247126
86	0.590021	0.262062
87	0.605357	0.258167
88	0.602148	0.269505
89	0.539566	0.276686
90	0.550519	0.264309
91	0.541968	0.271371
92	0.574127	0.298855
93	0.521498	0.302737
94	0.543108	0.269976
95	0.561383	0.254751
96	0.564014	0.270138
97	0.534834	0.293799
98	0.589443	0.241028
99	0.516909	0.276510
