timestep	normalized_wasserstein	kl_divergence
0	2.147698	1.714045
1	1.597721	0.907858
2	1.769975	0.688972
3	1.580707	0.628526
4	1.555790	0.553619
5	1.560855	0.536825
6	1.517080	0.504561
7	1.407284	0.457518
8	1.131304	0.388418
9	1.050762	0.395804
10	1.075686	0.424380
11	1.114039	0.372485
12	1.078587	0.356044
13	1.071756	0.378945
14	0.981055	0.386345
15	1.080977	0.432144
16	1.000502	0.353390
17	0.932147	0.320262
18	0.895065	0.388170
19	0.938368	0.349033
20	0.956121	0.316571
21	0.800607	0.299211
22	0.803619	0.304463
23	0.851500	0.278842
24	0.758040	0.294059
25	0.756267	0.279649
26	0.719939	0.323356
27	0.662295	0.263411
28	0.754183	0.290235
29	0.764771	0.299552
30	0.634335	0.303475
31	0.718056	0.298512
32	0.711966	0.254983
33	0.700096	0.292250
34	0.720602	0.282946
35	0.671260	0.277269
36	0.568820	0.292894
37	0.609915	0.279511
38	0.743630	0.282297
39	0.636124	0.281187
40	0.619993	0.303952
41	0.673214	0.294066
42	0.682151	0.290807
43	0.625169	0.273481
44	0.654848	0.263117
45	0.680064	0.256133
46	0.573795	0.301738
47	0.592343	0.270284
48	0.640469	0.290151
49	0.577666	0.299357
50	0.589927	0.293589
51	0.637062	0.276258
52	0.597676	0.291809
53	0.603147	0.280116
54	0.593669	0.241828
55	0.571984	0.254411
56	0.515315	0.261916
57	0.530911	0.259325
58	0.534426	0.263367
59	0.505538	0.304432
60	0.548140	0.260324
61	0.587981	0.266314
62	0.539001	0.288082
63	0.584759	0.251564
64	0.507573	0.252964
65	0.534909	0.292027
66	0.613139	0.244727
67	0.582784	0.267349
68	0.469991	0.267436
69	0.471606	0.251897
70	0.482563	0.275788
71	0.511061	0.268894
72	0.585447	0.252902
73	0.533692	0.218285
74	0.637295	0.237130
75	0.552950	0.285629
76	0.515630	0.293439
77	0.551611	0.248808
78	0.534433	0.263861
79	0.536648	0.274854
80	0.601724	0.265879
81	0.526809	0.236263
82	0.486884	0.246526
83	0.474152	0.298931
84	0.514318	0.238575
85	0.490945	0.222194
86	0.488062	0.235225
87	0.522554	0.249720
88	0.476987	0.245438
89	0.420026	0.264979
90	0.426850	0.257914
91	0.427014	0.274173
92	0.457026	0.263925
93	0.438913	0.239118
94	0.453735	0.252266
95	0.417925	0.234895
96	0.451707	0.272877
97	0.458973	0.237418
98	0.486473	0.257412
99	0.438079	0.235785
