timestep	normalized_wasserstein	kl_divergence
0	2.167236	1.470183
1	1.669398	0.866581
2	1.819389	0.699214
3	1.470370	0.653865
4	1.562130	0.601263
5	1.527938	0.562209
6	1.663901	0.574721
7	1.615538	0.517455
8	1.384176	0.451911
9	1.293886	0.448865
10	1.282939	0.430153
11	1.347287	0.421158
12	1.281789	0.429822
13	1.275920	0.418353
14	1.217305	0.394821
15	1.278341	0.441360
16	1.151107	0.384600
17	1.085739	0.377146
18	1.111953	0.416615
19	1.139173	0.382313
20	1.176731	0.379546
21	0.993398	0.381041
22	0.984196	0.387545
23	0.999331	0.360893
24	0.929772	0.358367
25	0.915508	0.340037
26	0.892792	0.369067
27	0.815842	0.311555
28	0.904024	0.341748
29	0.861117	0.330155
30	0.808867	0.313066
31	0.845785	0.314625
32	0.819261	0.313237
33	0.833307	0.344389
34	0.801090	0.305771
35	0.771562	0.318705
36	0.666717	0.309202
37	0.719295	0.298494
38	0.783360	0.292742
39	0.697871	0.342851
40	0.736593	0.317858
41	0.751709	0.299734
42	0.786650	0.317527
43	0.701172	0.299486
44	0.710355	0.332224
45	0.737422	0.296720
46	0.685776	0.319773
47	0.716969	0.320798
48	0.712858	0.314371
49	0.658288	0.283451
50	0.673006	0.309763
51	0.740465	0.307117
52	0.687106	0.326967
53	0.684793	0.302545
54	0.649260	0.310336
55	0.660047	0.289796
56	0.615463	0.276578
57	0.626272	0.286285
58	0.589604	0.292664
59	0.534603	0.304305
60	0.547573	0.290839
61	0.643187	0.326776
62	0.573427	0.331246
63	0.600664	0.319372
64	0.590492	0.327950
65	0.566834	0.286683
66	0.657217	0.283911
67	0.630398	0.279724
68	0.541740	0.338998
69	0.539016	0.280472
70	0.488594	0.302378
71	0.523030	0.292970
72	0.641106	0.260098
73	0.581068	0.288882
74	0.648764	0.310530
75	0.590443	0.287278
76	0.575078	0.249367
77	0.572407	0.273380
78	0.512216	0.292118
79	0.572923	0.296327
80	0.620484	0.265441
81	0.543796	0.265947
82	0.530714	0.237791
83	0.527201	0.286815
84	0.526462	0.256159
85	0.536260	0.289340
86	0.507109	0.268374
87	0.573631	0.280265
88	0.522260	0.309060
89	0.444559	0.281440
90	0.498077	0.283300
91	0.474778	0.272955
92	0.481027	0.294154
93	0.442406	0.286720
94	0.484672	0.263012
95	0.456625	0.240420
96	0.479568	0.289789
97	0.476731	0.258769
98	0.526225	0.250400
99	0.469824	0.296994
