timestep	normalized_wasserstein	kl_divergence
0	2.136863	1.967034
1	1.591719	0.873393
2	1.923153	0.737167
3	1.494179	0.595256
4	1.405844	0.508218
5	1.493479	0.509781
6	1.532760	0.464231
7	1.404636	0.402380
8	1.239030	0.404567
9	1.198836	0.413930
10	1.193581	0.396752
11	1.257201	0.410122
12	1.176307	0.394981
13	1.249321	0.373523
14	1.189410	0.382546
15	1.184955	0.378883
16	1.124832	0.374338
17	1.046299	0.363598
18	1.066744	0.368483
19	1.203090	0.354908
20	1.152069	0.363989
21	0.984619	0.372329
22	0.989776	0.348243
23	1.014544	0.323992
24	0.949722	0.328155
25	0.935493	0.323612
26	0.885654	0.344536
27	0.868866	0.316076
28	0.991488	0.332330
29	0.888528	0.334268
30	0.791154	0.322703
31	0.884250	0.301250
32	0.858636	0.313516
33	0.855142	0.324858
34	0.947617	0.314050
35	0.861993	0.287178
36	0.733343	0.332126
37	0.805653	0.291320
38	0.863520	0.319261
39	0.735407	0.294155
40	0.794141	0.328624
41	0.794529	0.325087
42	0.797256	0.322773
43	0.768557	0.321047
44	0.804192	0.322149
45	0.861843	0.281060
46	0.721696	0.309024
47	0.754236	0.310302
48	0.774616	0.312369
49	0.730251	0.309433
50	0.731255	0.308179
51	0.807756	0.298505
52	0.747648	0.310444
53	0.779665	0.316114
54	0.761307	0.320797
55	0.708622	0.274205
56	0.706531	0.305198
57	0.688350	0.312659
58	0.633487	0.268392
59	0.614462	0.295330
60	0.650274	0.266265
61	0.693849	0.310285
62	0.647628	0.291329
63	0.676945	0.266607
64	0.665881	0.269297
65	0.665813	0.279912
66	0.700617	0.280945
67	0.720108	0.285183
68	0.537640	0.302527
69	0.582528	0.323959
70	0.582852	0.316393
71	0.573292	0.289547
72	0.691903	0.257453
73	0.639519	0.262282
74	0.717603	0.277149
75	0.633754	0.264944
76	0.617668	0.277322
77	0.634535	0.254244
78	0.540322	0.265548
79	0.579718	0.281681
80	0.632325	0.298290
81	0.522642	0.280338
82	0.546121	0.292648
83	0.537534	0.276400
84	0.535417	0.318767
85	0.495000	0.256443
86	0.516450	0.276032
87	0.554400	0.288452
88	0.522609	0.324674
89	0.475398	0.275920
90	0.520165	0.287176
91	0.502492	0.281617
92	0.551717	0.300005
93	0.460801	0.286668
94	0.488357	0.305887
95	0.465935	0.253246
96	0.501434	0.301800
97	0.497537	0.285861
98	0.540311	0.241778
99	0.447761	0.281936
