timestep	normalized_wasserstein	kl_divergence
0	2.218046	1.712781
1	1.572675	0.640401
2	1.810904	0.629694
3	1.505147	0.562435
4	1.438693	0.482348
5	1.376263	0.428543
6	1.364588	0.400245
7	1.246321	0.344456
8	1.137677	0.337234
9	1.000179	0.358503
10	1.016988	0.372444
11	1.116749	0.354204
12	1.080434	0.352117
13	1.121575	0.381367
14	1.026578	0.370111
15	1.115529	0.400560
16	1.041267	0.370572
17	0.963461	0.341538
18	1.001024	0.356816
19	1.069693	0.356448
20	1.016342	0.365837
21	0.896522	0.352583
22	0.872678	0.349057
23	0.914644	0.333538
24	0.825775	0.345870
25	0.853061	0.318079
26	0.860119	0.328373
27	0.727835	0.341892
28	0.919447	0.374084
29	0.838051	0.345306
30	0.731859	0.330258
31	0.807150	0.331095
32	0.739836	0.290073
33	0.792415	0.278566
34	0.857136	0.309588
35	0.734100	0.336293
36	0.647109	0.313629
37	0.724613	0.297831
38	0.749733	0.305168
39	0.648321	0.331291
40	0.710774	0.281100
41	0.726819	0.326285
42	0.694718	0.325351
43	0.642312	0.292905
44	0.651875	0.300288
45	0.712116	0.303453
46	0.561210	0.305603
47	0.602638	0.344968
48	0.666257	0.314465
49	0.603672	0.321551
50	0.591504	0.314054
51	0.701385	0.318955
52	0.611520	0.307783
53	0.588674	0.292190
54	0.605264	0.274599
55	0.586734	0.278328
56	0.531822	0.291929
57	0.550217	0.316494
58	0.512058	0.296065
59	0.455880	0.287379
60	0.493412	0.267072
61	0.563604	0.315468
62	0.474855	0.281750
63	0.507239	0.270826
64	0.510749	0.274516
65	0.545869	0.284759
66	0.511973	0.246670
67	0.539430	0.264868
68	0.446534	0.276355
69	0.421142	0.312313
70	0.418896	0.287512
71	0.450865	0.311819
72	0.495151	0.266692
73	0.497517	0.290360
74	0.553010	0.296624
75	0.468044	0.297831
76	0.409571	0.282756
77	0.451947	0.287297
78	0.399765	0.283640
79	0.436558	0.306943
80	0.496946	0.273232
81	0.444609	0.301044
82	0.375201	0.327593
83	0.404339	0.256332
84	0.424105	0.271240
85	0.412588	0.272080
86	0.371398	0.279269
87	0.420023	0.272810
88	0.417695	0.252759
89	0.377708	0.306954
90	0.360626	0.290383
91	0.336524	0.275468
92	0.359095	0.302283
93	0.337470	0.308215
94	0.356359	0.271360
95	0.353165	0.239434
96	0.349816	0.288692
97	0.330893	0.275019
98	0.398556	0.259815
99	0.366640	0.274155
