timestep	normalized_wasserstein	kl_divergence
0	2.416873	1.933272
1	1.606334	1.066962
2	2.244224	0.944221
3	1.736695	0.731941
4	1.700053	0.608177
5	1.741828	0.569703
6	1.754341	0.529774
7	1.610934	0.465255
8	1.411945	0.416844
9	1.303215	0.443608
10	1.280128	0.463427
11	1.449822	0.474258
12	1.337803	0.439241
13	1.412362	0.449404
14	1.230439	0.439554
15	1.323597	0.463846
16	1.214469	0.434123
17	1.162702	0.443326
18	1.178923	0.440563
19	1.262104	0.414076
20	1.188472	0.421300
21	1.103948	0.443243
22	1.091272	0.388580
23	1.109170	0.376293
24	0.996508	0.372553
25	1.037967	0.381448
26	0.956415	0.387826
27	0.829564	0.358816
28	1.017728	0.377361
29	0.972436	0.395513
30	0.884736	0.353175
31	0.942472	0.336879
32	0.879157	0.360225
33	0.922190	0.316659
34	0.998860	0.342552
35	0.877914	0.364243
36	0.774067	0.320022
37	0.830790	0.338688
38	0.930693	0.329565
39	0.818254	0.352078
40	0.791202	0.342430
41	0.799485	0.348614
42	0.829439	0.321523
43	0.805802	0.315629
44	0.849881	0.319644
45	0.836812	0.325940
46	0.752677	0.305381
47	0.758205	0.338143
48	0.794003	0.367525
49	0.724886	0.356785
50	0.816122	0.381229
51	0.851670	0.344949
52	0.735929	0.364349
53	0.736022	0.316972
54	0.747404	0.327650
55	0.774469	0.327175
56	0.733773	0.303935
57	0.635472	0.283495
58	0.671468	0.322591
59	0.557391	0.336351
60	0.596407	0.283907
61	0.714315	0.336683
62	0.634946	0.331157
63	0.653220	0.302836
64	0.619554	0.345145
65	0.630419	0.276936
66	0.668689	0.299664
67	0.701939	0.321496
68	0.554623	0.340763
69	0.592872	0.284958
70	0.564814	0.318926
71	0.553517	0.324896
72	0.695051	0.268998
73	0.613555	0.290339
74	0.645155	0.274872
75	0.587874	0.275364
76	0.530176	0.315203
77	0.640668	0.286815
78	0.543508	0.308450
79	0.570146	0.283578
80	0.666131	0.288011
81	0.564950	0.268859
82	0.556374	0.266331
83	0.538515	0.318389
84	0.527362	0.301238
85	0.521941	0.313431
86	0.510002	0.279140
87	0.587081	0.270731
88	0.546502	0.278248
89	0.485815	0.289672
90	0.509920	0.284460
91	0.476034	0.248471
92	0.497292	0.299341
93	0.453901	0.287344
94	0.520428	0.314868
95	0.468362	0.286474
96	0.539703	0.292283
97	0.463605	0.318411
98	0.470726	0.246067
99	0.442606	0.309342
