timestep	normalized_wasserstein	kl_divergence
0	2.378521	1.550806
1	1.633696	0.766703
2	2.108333	0.793115
3	1.714980	0.720715
4	1.708403	0.603690
5	1.648028	0.591518
6	1.710410	0.526477
7	1.599002	0.480988
8	1.362624	0.430681
9	1.196069	0.424775
10	1.182380	0.422630
11	1.300361	0.416262
12	1.225245	0.420106
13	1.263272	0.413914
14	1.128862	0.410001
15	1.182727	0.386779
16	1.147501	0.400904
17	1.122394	0.406103
18	1.124005	0.408237
19	1.170426	0.414649
20	1.236549	0.424183
21	1.042863	0.387530
22	0.999833	0.398385
23	1.002529	0.391716
24	0.939041	0.382635
25	0.943796	0.415835
26	0.899103	0.409453
27	0.872592	0.345372
28	0.996445	0.388293
29	0.990255	0.375742
30	0.812796	0.349603
31	0.932111	0.360424
32	0.862117	0.321730
33	0.864170	0.324698
34	0.944276	0.382167
35	0.886451	0.368387
36	0.786591	0.368276
37	0.804319	0.333736
38	0.935083	0.342764
39	0.852301	0.360474
40	0.838776	0.357513
41	0.842426	0.365639
42	0.837805	0.369954
43	0.754398	0.353255
44	0.769200	0.349445
45	0.876827	0.344992
46	0.781790	0.350876
47	0.774237	0.326896
48	0.842255	0.343950
49	0.776249	0.362583
50	0.742800	0.352481
51	0.860784	0.342309
52	0.728986	0.330982
53	0.706406	0.332106
54	0.672206	0.349735
55	0.706784	0.339943
56	0.681590	0.301845
57	0.673725	0.288843
58	0.608022	0.332047
59	0.570322	0.320198
60	0.619041	0.304024
61	0.669112	0.321984
62	0.624009	0.330115
63	0.639062	0.306175
64	0.639094	0.314285
65	0.631528	0.290883
66	0.655810	0.287540
67	0.675814	0.308252
68	0.556672	0.319597
69	0.553504	0.355007
70	0.493533	0.360546
71	0.475036	0.317483
72	0.586223	0.305795
73	0.604392	0.306901
74	0.612258	0.309517
75	0.569863	0.339479
76	0.492678	0.286678
77	0.556027	0.303631
78	0.511395	0.279081
79	0.519950	0.292244
80	0.615622	0.282788
81	0.496185	0.308479
82	0.474764	0.324665
83	0.485404	0.311071
84	0.467718	0.288939
85	0.467740	0.254986
86	0.471795	0.349698
87	0.504894	0.299060
88	0.485879	0.295114
89	0.417384	0.325179
90	0.444146	0.370896
91	0.389326	0.290933
92	0.411268	0.352947
93	0.392096	0.321055
94	0.417036	0.326591
95	0.367260	0.298596
96	0.414935	0.289895
97	0.383835	0.300097
98	0.420589	0.293620
99	0.383085	0.309528
