timestep	normalized_wasserstein	kl_divergence
0	2.280713	2.071139
1	1.758178	0.884373
2	2.340975	0.905526
3	1.880698	0.738883
4	1.852476	0.649845
5	1.801352	0.588826
6	1.809862	0.542351
7	1.698040	0.487413
8	1.478237	0.472461
9	1.286756	0.447259
10	1.333809	0.483376
11	1.450008	0.445077
12	1.373737	0.463923
13	1.357415	0.421819
14	1.285101	0.399910
15	1.380571	0.441301
16	1.215941	0.436198
17	1.153160	0.386537
18	1.255742	0.413570
19	1.273625	0.397137
20	1.232442	0.382247
21	1.089522	0.431580
22	1.052133	0.391327
23	1.136399	0.364544
24	1.053265	0.363778
25	1.000156	0.354884
26	0.959734	0.344924
27	0.921536	0.361481
28	1.046861	0.368295
29	0.990660	0.374395
30	0.857397	0.341800
31	0.946901	0.328728
32	0.919008	0.339550
33	0.890134	0.298038
34	0.974798	0.344245
35	0.894692	0.320803
36	0.796479	0.320312
37	0.773938	0.356851
38	0.924428	0.372822
39	0.809302	0.346917
40	0.836955	0.309817
41	0.807042	0.327175
42	0.823034	0.341050
43	0.791883	0.347397
44	0.829909	0.354729
45	0.825090	0.286828
46	0.700837	0.316642
47	0.762504	0.319614
48	0.759257	0.337697
49	0.674206	0.321463
50	0.744143	0.322930
51	0.814513	0.322051
52	0.691413	0.342211
53	0.701581	0.329039
54	0.670093	0.323872
55	0.672071	0.293071
56	0.670877	0.315259
57	0.647817	0.305953
58	0.576791	0.352542
59	0.560721	0.328020
60	0.631915	0.289702
61	0.693158	0.348044
62	0.618475	0.325605
63	0.630490	0.309718
64	0.614038	0.313344
65	0.581298	0.293465
66	0.655987	0.313668
67	0.710647	0.311504
68	0.585912	0.278143
69	0.520061	0.317166
70	0.482004	0.286760
71	0.539274	0.318389
72	0.679714	0.322976
73	0.582831	0.264134
74	0.667929	0.289919
75	0.556403	0.317583
76	0.491244	0.273927
77	0.567888	0.316567
78	0.519829	0.323022
79	0.536433	0.300558
80	0.616878	0.295061
81	0.479185	0.311809
82	0.464469	0.329618
83	0.483698	0.256814
84	0.539841	0.239723
85	0.489752	0.282933
86	0.484746	0.308963
87	0.581916	0.274059
88	0.480831	0.261013
89	0.466003	0.244034
90	0.433696	0.304365
91	0.436922	0.293655
92	0.411393	0.310002
93	0.391815	0.303561
94	0.432912	0.284375
95	0.388900	0.310991
96	0.445940	0.272929
97	0.406963	0.297368
98	0.446957	0.257083
99	0.421750	0.262466
