timestep	normalized_wasserstein	kl_divergence
0	2.258659	1.568457
1	1.733024	0.733844
2	1.850814	0.589723
3	1.536627	0.567912
4	1.419038	0.472809
5	1.281745	0.430822
6	1.412464	0.409568
7	1.197036	0.335147
8	1.046724	0.318688
9	0.997135	0.319152
10	1.071619	0.340002
11	1.146968	0.343288
12	1.181448	0.334259
13	1.198662	0.333187
14	1.195595	0.336802
15	1.195674	0.349419
16	1.197361	0.341687
17	1.123825	0.333384
18	1.138197	0.332603
19	1.238130	0.340552
20	1.240876	0.367310
21	1.042870	0.334376
22	1.067853	0.323388
23	1.046612	0.296223
24	1.054216	0.308526
25	1.040983	0.320994
26	0.990358	0.309535
27	0.938242	0.311329
28	1.109091	0.329874
29	1.029501	0.319881
30	0.889556	0.280397
31	1.002334	0.307672
32	0.953985	0.315148
33	0.962560	0.266267
34	1.031090	0.286141
35	0.992732	0.308205
36	0.816903	0.288872
37	0.875250	0.357210
38	0.974027	0.320590
39	0.929117	0.307729
40	0.906092	0.301901
41	0.946849	0.304399
42	0.924084	0.337651
43	0.852379	0.278203
44	0.871525	0.277184
45	0.968632	0.302628
46	0.821726	0.327751
47	0.847921	0.306335
48	0.890636	0.320462
49	0.814499	0.311497
50	0.898882	0.312442
51	0.981927	0.310391
52	0.881409	0.312410
53	0.849882	0.281882
54	0.897916	0.289882
55	0.860243	0.268242
56	0.846040	0.280926
57	0.739356	0.257145
58	0.727676	0.326858
59	0.702442	0.267770
60	0.753323	0.268824
61	0.837128	0.311644
62	0.750166	0.280845
63	0.750440	0.283294
64	0.755797	0.336258
65	0.736244	0.287505
66	0.825206	0.298526
67	0.879531	0.270180
68	0.687446	0.294760
69	0.677189	0.295889
70	0.699588	0.279189
71	0.653465	0.272479
72	0.806400	0.262310
73	0.759149	0.249740
74	0.834526	0.293365
75	0.746993	0.287131
76	0.646617	0.251354
77	0.709747	0.273017
78	0.634893	0.273682
79	0.699794	0.282934
80	0.765701	0.268186
81	0.641869	0.251714
82	0.680255	0.247773
83	0.612570	0.266835
84	0.661495	0.283472
85	0.660969	0.278370
86	0.589346	0.260858
87	0.679831	0.268120
88	0.645413	0.263558
89	0.568653	0.266464
90	0.553605	0.283441
91	0.553232	0.281429
92	0.588974	0.266251
93	0.569237	0.325510
94	0.577589	0.274111
95	0.587098	0.246185
96	0.608907	0.250272
97	0.600839	0.240035
98	0.657506	0.264827
99	0.607228	0.292745
