timestep	normalized_wasserstein	kl_divergence
0	2.298149	1.707639
1	1.730254	0.805042
2	2.030546	0.697814
3	1.573096	0.650635
4	1.617739	0.547738
5	1.593991	0.551086
6	1.608281	0.474197
7	1.478786	0.400469
8	1.280078	0.361929
9	1.279064	0.401203
10	1.297228	0.390005
11	1.490822	0.413642
12	1.386899	0.411825
13	1.424251	0.387838
14	1.322299	0.384644
15	1.323980	0.414350
16	1.299909	0.394392
17	1.264806	0.375575
18	1.272695	0.392973
19	1.323312	0.394083
20	1.350747	0.379702
21	1.167093	0.372276
22	1.161517	0.373226
23	1.239062	0.361264
24	1.117988	0.378475
25	1.131304	0.347586
26	1.082657	0.352834
27	1.015315	0.366974
28	1.231855	0.355663
29	1.109994	0.368599
30	1.009167	0.350542
31	1.119964	0.347121
32	1.056255	0.323972
33	1.125777	0.319895
34	1.126329	0.363467
35	1.050732	0.325428
36	0.920996	0.352010
37	0.969669	0.328862
38	1.106859	0.360861
39	0.951313	0.323813
40	0.977015	0.325355
41	1.050384	0.363419
42	0.983111	0.314619
43	0.943514	0.329034
44	0.973572	0.328432
45	0.985715	0.324273
46	0.880647	0.325315
47	0.933057	0.332893
48	0.937692	0.345252
49	0.857065	0.316067
50	0.911820	0.331465
51	0.996090	0.328820
52	0.878481	0.354445
53	0.890799	0.318666
54	0.850250	0.297406
55	0.857539	0.327187
56	0.805763	0.350274
57	0.825913	0.279927
58	0.789767	0.292081
59	0.730141	0.319149
60	0.780472	0.278398
61	0.835839	0.297702
62	0.764749	0.316406
63	0.772009	0.289378
64	0.783449	0.320834
65	0.740526	0.292713
66	0.808351	0.300057
67	0.826069	0.289591
68	0.693288	0.284152
69	0.688332	0.306916
70	0.676032	0.299124
71	0.661876	0.365033
72	0.800189	0.281640
73	0.762124	0.271990
74	0.776287	0.301250
75	0.770894	0.275255
76	0.685288	0.285173
77	0.729806	0.310746
78	0.684168	0.292502
79	0.697986	0.285121
80	0.734190	0.263176
81	0.663345	0.272096
82	0.610506	0.268744
83	0.604191	0.311278
84	0.675904	0.280072
85	0.633901	0.282272
86	0.626631	0.293980
87	0.706241	0.300292
88	0.655644	0.279005
89	0.586373	0.313445
90	0.620627	0.304028
91	0.562736	0.339045
92	0.561108	0.300995
93	0.524865	0.342690
94	0.608037	0.278000
95	0.529475	0.280929
96	0.620762	0.308121
97	0.553789	0.268603
98	0.611698	0.277337
99	0.557702	0.258854
