timestep	normalized_wasserstein	kl_divergence
0	2.407430	1.801816
1	1.682642	0.967881
2	2.424497	0.930289
3	1.781979	0.699665
4	1.740013	0.594722
5	1.837966	0.593807
6	1.884300	0.575573
7	1.719857	0.494019
8	1.472227	0.483299
9	1.392271	0.484832
10	1.390383	0.474287
11	1.437589	0.450338
12	1.263980	0.425744
13	1.365544	0.430725
14	1.201531	0.419977
15	1.293711	0.482899
16	1.235811	0.418981
17	1.090121	0.398271
18	1.088498	0.402649
19	1.159710	0.431136
20	1.130639	0.387199
21	0.984745	0.372546
22	0.982145	0.410842
23	1.015267	0.408465
24	0.937318	0.388194
25	0.931643	0.366459
26	0.923728	0.366589
27	0.837004	0.367207
28	0.950285	0.364954
29	0.927780	0.377967
30	0.809935	0.337409
31	0.917399	0.348698
32	0.856244	0.344917
33	0.885991	0.335860
34	0.988117	0.390210
35	0.867670	0.376709
36	0.757840	0.343578
37	0.796852	0.344753
38	0.905015	0.339584
39	0.768514	0.377107
40	0.851475	0.367157
41	0.829607	0.355286
42	0.801178	0.372635
43	0.776526	0.330416
44	0.848609	0.363603
45	0.835744	0.322844
46	0.752597	0.320888
47	0.749712	0.351496
48	0.818868	0.359783
49	0.762300	0.375732
50	0.781430	0.368180
51	0.874474	0.313265
52	0.746525	0.331052
53	0.795436	0.337670
54	0.780078	0.341890
55	0.753203	0.306021
56	0.745644	0.321412
57	0.724569	0.311983
58	0.712925	0.317692
59	0.641115	0.324163
60	0.683337	0.284326
61	0.738347	0.326486
62	0.656314	0.334197
63	0.688668	0.329728
64	0.633663	0.307891
65	0.672764	0.307682
66	0.737221	0.300296
67	0.735245	0.281241
68	0.657867	0.302589
69	0.647239	0.326399
70	0.665312	0.308024
71	0.624333	0.298916
72	0.733659	0.285846
73	0.718087	0.282324
74	0.779262	0.307926
75	0.739350	0.331249
76	0.616831	0.320409
77	0.648755	0.328577
78	0.612317	0.297776
79	0.669791	0.292508
80	0.710677	0.297435
81	0.598404	0.293864
82	0.595777	0.295090
83	0.626212	0.292116
84	0.615517	0.277365
85	0.619496	0.285192
86	0.628116	0.258051
87	0.663374	0.319069
88	0.608171	0.293817
89	0.541591	0.289170
90	0.526131	0.309462
91	0.517975	0.301071
92	0.575830	0.299438
93	0.513583	0.320057
94	0.581607	0.274447
95	0.548184	0.232489
96	0.586678	0.280168
97	0.552384	0.271227
98	0.590706	0.274422
99	0.506737	0.296325
