timestep	normalized_wasserstein	kl_divergence
0	2.048998	1.892820
1	1.610367	0.869312
2	1.911240	0.751750
3	1.571244	0.722839
4	1.534119	0.616447
5	1.502557	0.506740
6	1.366852	0.433663
7	1.307075	0.377442
8	1.133580	0.351502
9	1.068392	0.358277
10	1.042707	0.369091
11	1.184187	0.385676
12	1.163424	0.376218
13	1.137863	0.348152
14	1.068050	0.355700
15	1.173553	0.334369
16	1.044953	0.351823
17	1.013853	0.365352
18	1.011170	0.364277
19	1.056586	0.360808
20	1.058525	0.364257
21	0.943954	0.353841
22	0.960257	0.375779
23	0.966048	0.316954
24	0.902503	0.329407
25	0.917057	0.331943
26	0.872917	0.341679
27	0.789261	0.310410
28	0.906743	0.329640
29	0.874776	0.300326
30	0.755708	0.312719
31	0.847062	0.285212
32	0.805929	0.288562
33	0.803122	0.276347
34	0.819539	0.325868
35	0.754700	0.290347
36	0.628971	0.303921
37	0.677016	0.290619
38	0.752542	0.296489
39	0.682625	0.290965
40	0.727805	0.269934
41	0.734938	0.296996
42	0.733062	0.290085
43	0.659792	0.287045
44	0.699680	0.265150
45	0.714452	0.259508
46	0.597423	0.272136
47	0.674492	0.295395
48	0.669601	0.251746
49	0.615066	0.278075
50	0.648325	0.302024
51	0.670917	0.270778
52	0.592630	0.273202
53	0.642831	0.281949
54	0.591808	0.268008
55	0.581401	0.274049
56	0.570115	0.289319
57	0.557987	0.245622
58	0.537346	0.294425
59	0.488409	0.277323
60	0.563104	0.252617
61	0.540445	0.263811
62	0.505936	0.311128
63	0.537359	0.251937
64	0.517641	0.279540
65	0.500617	0.305810
66	0.555314	0.248726
67	0.560580	0.287695
68	0.445303	0.264765
69	0.477503	0.288292
70	0.443281	0.260101
71	0.463779	0.262893
72	0.556106	0.231178
73	0.528419	0.273165
74	0.560682	0.247469
75	0.481725	0.280027
76	0.429662	0.307093
77	0.487169	0.245600
78	0.472112	0.268087
79	0.464939	0.334704
80	0.473117	0.252046
81	0.397433	0.249648
82	0.379523	0.272311
83	0.416420	0.276981
84	0.438593	0.287620
85	0.426758	0.238356
86	0.410471	0.262596
87	0.450840	0.230093
88	0.413787	0.282628
89	0.383935	0.272906
90	0.377261	0.279582
91	0.381024	0.253135
92	0.394593	0.272719
93	0.387614	0.349667
94	0.369443	0.257034
95	0.362985	0.277916
96	0.357780	0.249000
97	0.411415	0.236377
98	0.402013	0.217411
99	0.347331	0.243291
