timestep	normalized_wasserstein	kl_divergence
0	2.075624	1.767374
1	1.609811	0.814465
2	2.190591	0.796782
3	1.742868	0.728334
4	1.856813	0.657866
5	1.819099	0.571143
6	1.770313	0.535437
7	1.548586	0.443351
8	1.326163	0.411833
9	1.207651	0.418889
10	1.203047	0.391099
11	1.268175	0.385710
12	1.131664	0.365604
13	1.123547	0.352078
14	1.067771	0.343054
15	1.128161	0.369713
16	1.076977	0.360649
17	0.961655	0.355029
18	0.979793	0.355920
19	1.027656	0.367859
20	1.036646	0.338725
21	0.931089	0.374063
22	0.935618	0.385768
23	0.968146	0.358660
24	0.889947	0.354092
25	0.865578	0.352753
26	0.860920	0.352837
27	0.783850	0.345187
28	0.869629	0.337007
29	0.841764	0.364755
30	0.728873	0.368433
31	0.854351	0.336639
32	0.825169	0.334060
33	0.871384	0.312038
34	0.946660	0.323126
35	0.820323	0.328422
36	0.707098	0.329617
37	0.735209	0.304712
38	0.881256	0.351867
39	0.786775	0.337348
40	0.793941	0.325923
41	0.786126	0.355394
42	0.814546	0.361020
43	0.715667	0.322482
44	0.754465	0.363548
45	0.825238	0.327753
46	0.720721	0.325449
47	0.744958	0.351809
48	0.756166	0.325059
49	0.683790	0.335190
50	0.680691	0.298677
51	0.806764	0.319788
52	0.711105	0.321088
53	0.674914	0.341600
54	0.720932	0.310466
55	0.710890	0.316473
56	0.676637	0.302244
57	0.676110	0.296939
58	0.636496	0.299265
59	0.570960	0.318391
60	0.633261	0.292437
61	0.687044	0.347724
62	0.626964	0.309577
63	0.644934	0.281604
64	0.638548	0.292011
65	0.643471	0.296348
66	0.655015	0.304307
67	0.634304	0.281307
68	0.505573	0.323076
69	0.539493	0.284666
70	0.528800	0.331154
71	0.537468	0.325264
72	0.636322	0.315780
73	0.619453	0.280756
74	0.626523	0.287271
75	0.572330	0.263453
76	0.520701	0.289838
77	0.566966	0.304338
78	0.512181	0.278144
79	0.543186	0.298991
80	0.651593	0.276282
81	0.535684	0.275277
82	0.490591	0.303528
83	0.469013	0.250837
84	0.501132	0.268701
85	0.505420	0.288113
86	0.529916	0.315757
87	0.602230	0.325796
88	0.533630	0.283686
89	0.447108	0.271867
90	0.451518	0.313992
91	0.449523	0.311331
92	0.441373	0.294135
93	0.406083	0.312779
94	0.480915	0.288625
95	0.478203	0.249745
96	0.435053	0.276579
97	0.427963	0.295368
98	0.456648	0.268677
99	0.434077	0.315122
