timestep	normalized_wasserstein	kl_divergence
0	2.200624	1.908784
1	1.689344	0.885557
2	2.018345	0.800608
3	1.519800	0.733278
4	1.540851	0.628857
5	1.553242	0.584215
6	1.640738	0.564291
7	1.557377	0.465116
8	1.338162	0.475933
9	1.258626	0.430934
10	1.243736	0.399574
11	1.357941	0.401356
12	1.250116	0.395373
13	1.280514	0.385884
14	1.191586	0.340188
15	1.170769	0.367108
16	1.136350	0.344267
17	1.050661	0.348591
18	1.065600	0.350031
19	1.140509	0.338614
20	1.105415	0.350019
21	0.967959	0.341896
22	0.934218	0.337934
23	0.988914	0.359768
24	0.946373	0.301526
25	0.907878	0.303825
26	0.884887	0.315333
27	0.805948	0.308851
28	0.929892	0.291380
29	0.859910	0.336531
30	0.792896	0.299401
31	0.892440	0.282459
32	0.802621	0.282959
33	0.842821	0.284951
34	0.909716	0.289204
35	0.847527	0.287090
36	0.731659	0.283119
37	0.787283	0.276691
38	0.919869	0.296876
39	0.812189	0.291275
40	0.811813	0.309255
41	0.823884	0.306151
42	0.853993	0.310857
43	0.778053	0.311814
44	0.786149	0.280739
45	0.852738	0.307063
46	0.752330	0.279612
47	0.767883	0.297331
48	0.825750	0.284869
49	0.747446	0.285923
50	0.792551	0.325956
51	0.881720	0.271577
52	0.740221	0.275954
53	0.792711	0.340024
54	0.774309	0.306945
55	0.720752	0.294485
56	0.739154	0.280991
57	0.726631	0.291665
58	0.674151	0.321972
59	0.603106	0.288547
60	0.669261	0.289609
61	0.723051	0.276658
62	0.660685	0.268086
63	0.701085	0.269147
64	0.688668	0.297264
65	0.664500	0.262929
66	0.720918	0.294025
67	0.714403	0.262060
68	0.622458	0.300276
69	0.600066	0.290048
70	0.612142	0.277565
71	0.622380	0.266148
72	0.756727	0.278609
73	0.688724	0.288972
74	0.671616	0.270464
75	0.692756	0.323193
76	0.588637	0.261790
77	0.654593	0.272319
78	0.570869	0.293794
79	0.593834	0.306610
80	0.673119	0.252639
81	0.628938	0.262002
82	0.567970	0.249880
83	0.575926	0.247973
84	0.606240	0.272590
85	0.615981	0.297942
86	0.591542	0.272620
87	0.632542	0.271883
88	0.562243	0.290213
89	0.543902	0.289552
90	0.541584	0.268079
91	0.553440	0.280200
92	0.572966	0.274250
93	0.512742	0.289091
94	0.577978	0.263423
95	0.551935	0.239734
96	0.574843	0.262256
97	0.555765	0.264256
98	0.583505	0.255368
99	0.519180	0.242547
