timestep	normalized_wasserstein	kl_divergence
0	2.140566	1.653635
1	1.569760	1.058563
2	2.201684	0.846372
3	1.451872	0.623718
4	1.368395	0.501487
5	1.454928	0.428102
6	1.480747	0.400064
7	1.321972	0.353377
8	1.218886	0.326584
9	1.134744	0.356014
10	1.155155	0.387877
11	1.263351	0.340885
12	1.192727	0.356532
13	1.232020	0.350689
14	1.224225	0.386501
15	1.210490	0.380923
16	1.149333	0.359687
17	1.163480	0.348352
18	1.141537	0.367733
19	1.171283	0.355052
20	1.227453	0.355267
21	1.049853	0.333138
22	1.094571	0.370583
23	1.076083	0.348953
24	1.021371	0.354712
25	1.030436	0.355486
26	0.988641	0.353435
27	0.908924	0.358767
28	1.072940	0.343906
29	1.022331	0.339589
30	0.850842	0.293877
31	0.936461	0.315475
32	0.903029	0.318576
33	0.922604	0.305728
34	0.986744	0.331144
35	0.884217	0.320704
36	0.819940	0.330806
37	0.820894	0.324537
38	0.928583	0.329477
39	0.808586	0.321487
40	0.837355	0.316318
41	0.880362	0.331204
42	0.857149	0.338917
43	0.810506	0.314157
44	0.892626	0.349661
45	0.919223	0.311794
46	0.743115	0.322139
47	0.815949	0.318141
48	0.803733	0.294665
49	0.766153	0.319545
50	0.779429	0.325874
51	0.847979	0.316040
52	0.751883	0.281276
53	0.781223	0.298011
54	0.741455	0.326974
55	0.760233	0.321693
56	0.684202	0.325892
57	0.729264	0.270387
58	0.653301	0.268680
59	0.603164	0.304437
60	0.668612	0.290975
61	0.765892	0.311680
62	0.666226	0.333271
63	0.708568	0.286961
64	0.687966	0.305977
65	0.636317	0.284752
66	0.667364	0.317887
67	0.691567	0.318151
68	0.554177	0.302870
69	0.582206	0.273906
70	0.550631	0.305755
71	0.569667	0.303659
72	0.693136	0.283551
73	0.635926	0.284465
74	0.705711	0.294070
75	0.614455	0.276859
76	0.578667	0.268587
77	0.589597	0.305296
78	0.546914	0.292596
79	0.586141	0.290966
80	0.682094	0.273500
81	0.584675	0.256493
82	0.555213	0.254175
83	0.503094	0.277822
84	0.587335	0.291052
85	0.531956	0.288602
86	0.523158	0.278330
87	0.572842	0.296228
88	0.552389	0.284390
89	0.478950	0.268346
90	0.422495	0.302714
91	0.471682	0.276280
92	0.468370	0.287466
93	0.428105	0.283041
94	0.527232	0.286349
95	0.460149	0.248505
96	0.500706	0.256448
97	0.446550	0.250584
98	0.536544	0.256806
99	0.478033	0.264291
