timestep	normalized_wasserstein	kl_divergence
0	2.075559	1.822380
1	1.376538	0.796706
2	1.743953	0.654041
3	1.493223	0.585040
4	1.546142	0.573638
5	1.487909	0.522071
6	1.440062	0.444921
7	1.230585	0.356816
8	1.070169	0.311735
9	0.965914	0.356251
10	0.992754	0.334405
11	1.131721	0.339153
12	1.058156	0.309717
13	1.051783	0.316087
14	1.047410	0.322474
15	1.048661	0.329753
16	1.012215	0.297753
17	0.927105	0.296328
18	1.009165	0.319355
19	1.093478	0.349395
20	1.142130	0.329887
21	0.941671	0.336795
22	0.962066	0.316137
23	0.965455	0.309908
24	0.878680	0.287431
25	1.020079	0.336755
26	0.892521	0.327143
27	0.836171	0.321310
28	0.997910	0.297628
29	0.893341	0.306933
30	0.792568	0.304636
31	0.873186	0.280548
32	0.834364	0.282265
33	0.871363	0.249105
34	0.930281	0.313127
35	0.904529	0.320904
36	0.748923	0.280323
37	0.757750	0.308248
38	0.910935	0.317180
39	0.854444	0.302308
40	0.806736	0.284638
41	0.841181	0.305986
42	0.852705	0.294280
43	0.750975	0.302249
44	0.810523	0.335016
45	0.828167	0.285593
46	0.706061	0.308140
47	0.777659	0.298255
48	0.788547	0.286178
49	0.748668	0.300954
50	0.764003	0.292068
51	0.861196	0.275566
52	0.759203	0.288493
53	0.764536	0.283224
54	0.755986	0.276032
55	0.741475	0.289039
56	0.664035	0.253207
57	0.700702	0.304037
58	0.634849	0.280199
59	0.603463	0.306857
60	0.683126	0.267868
61	0.730367	0.264488
62	0.623003	0.298284
63	0.691410	0.243938
64	0.678175	0.258936
65	0.649973	0.263060
66	0.717818	0.270982
67	0.697920	0.259637
68	0.609129	0.246870
69	0.611961	0.290888
70	0.619204	0.275338
71	0.600558	0.250673
72	0.700029	0.229681
73	0.687505	0.267559
74	0.699299	0.233024
75	0.647162	0.244024
76	0.583422	0.262163
77	0.644671	0.227718
78	0.579902	0.253364
79	0.613266	0.252583
80	0.676316	0.224077
81	0.583456	0.277425
82	0.553864	0.275338
83	0.574199	0.255992
84	0.568688	0.244206
85	0.536679	0.223344
86	0.561830	0.258567
87	0.584014	0.248642
88	0.512470	0.270767
89	0.468706	0.253042
90	0.485238	0.262511
91	0.517619	0.251809
92	0.483543	0.264283
93	0.427297	0.279274
94	0.501618	0.265149
95	0.483782	0.250808
96	0.495709	0.263005
97	0.505153	0.247427
98	0.537999	0.245673
99	0.468556	0.246915
