timestep	normalized_wasserstein	kl_divergence
0	2.121774	1.673332
1	1.433354	0.855946
2	1.671088	0.776567
3	1.291222	0.622464
4	1.283550	0.448237
5	1.318317	0.393745
6	1.459349	0.420075
7	1.379740	0.363035
8	1.186999	0.323520
9	1.123027	0.370571
10	1.130185	0.330220
11	1.237315	0.346443
12	1.154917	0.309286
13	1.167931	0.336133
14	1.149965	0.322281
15	1.140351	0.339206
16	1.180058	0.328928
17	1.095490	0.352765
18	1.010499	0.339444
19	1.082603	0.325770
20	1.126708	0.308921
21	0.981633	0.309093
22	0.997871	0.351039
23	0.996749	0.311272
24	0.946035	0.305660
25	0.973361	0.289828
26	0.841010	0.322857
27	0.817521	0.317174
28	0.970512	0.314808
29	0.906411	0.343608
30	0.804617	0.291306
31	0.902382	0.323116
32	0.801366	0.292449
33	0.873170	0.285177
34	0.956348	0.286528
35	0.847668	0.302147
36	0.742441	0.294450
37	0.746079	0.289922
38	0.843695	0.291665
39	0.770570	0.295812
40	0.769012	0.313473
41	0.797380	0.318772
42	0.833125	0.301613
43	0.765763	0.296372
44	0.794917	0.335677
45	0.790553	0.293525
46	0.643511	0.296402
47	0.732755	0.282137
48	0.766738	0.338955
49	0.673460	0.289510
50	0.707649	0.296659
51	0.792815	0.306411
52	0.757732	0.280138
53	0.733621	0.285993
54	0.721271	0.312204
55	0.703980	0.285393
56	0.641237	0.306859
57	0.666348	0.296008
58	0.627612	0.263340
59	0.567930	0.281272
60	0.678898	0.286580
61	0.677682	0.295314
62	0.626984	0.303470
63	0.678363	0.276079
64	0.623666	0.284634
65	0.665504	0.286472
66	0.675080	0.281288
67	0.684590	0.277652
68	0.575957	0.253960
69	0.545693	0.266460
70	0.543617	0.242779
71	0.565150	0.273336
72	0.677729	0.246643
73	0.654386	0.245499
74	0.689122	0.278712
75	0.605943	0.296972
76	0.528063	0.301361
77	0.586759	0.264482
78	0.526510	0.291365
79	0.533835	0.221553
80	0.617941	0.282711
81	0.566778	0.276713
82	0.508929	0.241238
83	0.507667	0.317468
84	0.545316	0.274742
85	0.500889	0.219237
86	0.524418	0.304089
87	0.547408	0.279851
88	0.532526	0.259703
89	0.458933	0.268474
90	0.479108	0.269634
91	0.466691	0.289000
92	0.484593	0.250497
93	0.456219	0.268694
94	0.524851	0.281148
95	0.485237	0.226853
96	0.488929	0.287834
97	0.458270	0.302237
98	0.540577	0.238784
99	0.495017	0.260407
