timestep	normalized_wasserstein	kl_divergence
0	2.239440	1.811181
1	1.738398	0.802091
2	2.124821	0.750886
3	1.753154	0.698427
4	1.769749	0.620809
5	1.667698	0.552580
6	1.747020	0.491753
7	1.597470	0.423445
8	1.363819	0.437320
9	1.229273	0.420682
10	1.263889	0.444112
11	1.372281	0.402695
12	1.286286	0.434525
13	1.254793	0.405952
14	1.244136	0.418998
15	1.264260	0.441819
16	1.198371	0.408172
17	1.172599	0.443040
18	1.166856	0.436362
19	1.250485	0.418634
20	1.153210	0.386359
21	1.061960	0.403862
22	0.974403	0.383975
23	1.019036	0.377637
24	1.042218	0.422549
25	1.026116	0.372155
26	0.923559	0.387234
27	0.880581	0.375431
28	1.048522	0.367811
29	0.965706	0.388013
30	0.868123	0.360427
31	0.916462	0.360582
32	0.945389	0.363202
33	0.892241	0.357882
34	0.957529	0.408132
35	0.886591	0.360149
36	0.777629	0.356100
37	0.836261	0.358016
38	0.868432	0.357943
39	0.755635	0.351724
40	0.828112	0.327567
41	0.861827	0.350485
42	0.845040	0.359947
43	0.812662	0.334584
44	0.807815	0.333411
45	0.883330	0.317195
46	0.710412	0.364849
47	0.773465	0.341250
48	0.814291	0.348407
49	0.737426	0.362859
50	0.780066	0.353544
51	0.809350	0.331779
52	0.767937	0.332402
53	0.776622	0.344902
54	0.754154	0.320308
55	0.741454	0.328386
56	0.700902	0.326460
57	0.689082	0.311156
58	0.673426	0.329166
59	0.579585	0.298172
60	0.612832	0.308612
61	0.723634	0.312502
62	0.624214	0.322238
63	0.687851	0.304978
64	0.702083	0.309295
65	0.697591	0.305560
66	0.660435	0.325206
67	0.691304	0.308518
68	0.572929	0.313541
69	0.545941	0.335143
70	0.540389	0.337677
71	0.542496	0.350604
72	0.688367	0.276019
73	0.593823	0.288658
74	0.687986	0.316440
75	0.641471	0.284257
76	0.571243	0.284488
77	0.595237	0.283850
78	0.577750	0.298218
79	0.600400	0.296587
80	0.645461	0.297901
81	0.549988	0.299828
82	0.510209	0.266511
83	0.526655	0.261918
84	0.559718	0.272512
85	0.532702	0.304978
86	0.518470	0.312118
87	0.596238	0.322949
88	0.521042	0.318499
89	0.457764	0.318590
90	0.462706	0.246999
91	0.446863	0.274317
92	0.509720	0.284766
93	0.453147	0.307498
94	0.532760	0.336618
95	0.461880	0.289212
96	0.506624	0.279067
97	0.502635	0.289441
98	0.529320	0.317916
99	0.444004	0.286586
