timestep	normalized_wasserstein	kl_divergence
0	2.270088	1.688224
1	1.599027	0.732177
2	2.090529	0.781483
3	1.707844	0.696642
4	1.589052	0.567642
5	1.501832	0.535011
6	1.591334	0.470947
7	1.450956	0.420717
8	1.233588	0.380631
9	1.105532	0.377938
10	1.085832	0.384941
11	1.194185	0.387936
12	1.090947	0.365338
13	1.187242	0.353353
14	1.073279	0.355100
15	1.156502	0.385995
16	1.137382	0.394997
17	0.997227	0.400169
18	1.077674	0.375714
19	1.102168	0.345270
20	1.085650	0.342242
21	0.982210	0.364939
22	0.991114	0.329695
23	1.006775	0.347317
24	0.930137	0.347398
25	0.906314	0.307896
26	0.877640	0.348917
27	0.813116	0.315098
28	0.911203	0.319801
29	0.864965	0.305501
30	0.796118	0.289351
31	0.853528	0.308246
32	0.827299	0.297363
33	0.894891	0.303985
34	0.879387	0.303411
35	0.783865	0.329069
36	0.736801	0.307066
37	0.748254	0.311149
38	0.857924	0.307302
39	0.721986	0.356277
40	0.754320	0.283395
41	0.792425	0.324849
42	0.712996	0.337518
43	0.713524	0.288407
44	0.775574	0.320889
45	0.723712	0.282545
46	0.632321	0.290839
47	0.713379	0.330768
48	0.699510	0.313980
49	0.659186	0.272682
50	0.681483	0.336566
51	0.719522	0.252883
52	0.682323	0.266069
53	0.694442	0.293000
54	0.633128	0.274152
55	0.637267	0.296225
56	0.649657	0.275054
57	0.609528	0.277905
58	0.589340	0.306408
59	0.505978	0.308749
60	0.552299	0.247573
61	0.600951	0.261568
62	0.560814	0.327737
63	0.578758	0.277476
64	0.559728	0.292509
65	0.529270	0.289548
66	0.618021	0.291925
67	0.652466	0.310426
68	0.511522	0.272405
69	0.555352	0.262996
70	0.488513	0.260780
71	0.499100	0.287499
72	0.648659	0.284012
73	0.578621	0.256452
74	0.611554	0.285681
75	0.505796	0.259806
76	0.480684	0.251096
77	0.528531	0.278038
78	0.489757	0.306995
79	0.508109	0.288761
80	0.529851	0.278161
81	0.456076	0.251059
82	0.447719	0.262204
83	0.462990	0.261928
84	0.464516	0.253024
85	0.448400	0.307807
86	0.471738	0.234091
87	0.477002	0.238292
88	0.453848	0.297297
89	0.395408	0.285768
90	0.393492	0.269947
91	0.435176	0.257531
92	0.433101	0.294085
93	0.374635	0.283389
94	0.426852	0.276420
95	0.394706	0.262216
96	0.410130	0.279701
97	0.415512	0.283247
98	0.460016	0.246079
99	0.428295	0.251542
