timestep	normalized_wasserstein	kl_divergence
0	1.939102	1.627098
1	1.417195	0.778676
2	1.699306	0.660050
3	1.381850	0.557673
4	1.371067	0.507721
5	1.413955	0.525442
6	1.396423	0.472433
7	1.289316	0.443837
8	1.155616	0.410385
9	1.040939	0.405298
10	1.036989	0.416168
11	1.153855	0.402931
12	1.019744	0.370023
13	1.095623	0.363501
14	1.005326	0.412716
15	1.068757	0.415912
16	1.007044	0.395749
17	0.922847	0.367031
18	0.918888	0.370211
19	1.021835	0.370667
20	1.043429	0.387267
21	0.891113	0.346392
22	0.853486	0.350613
23	0.870807	0.326517
24	0.790002	0.344384
25	0.795902	0.310829
26	0.759378	0.363305
27	0.693680	0.342688
28	0.827208	0.337198
29	0.753170	0.331520
30	0.747457	0.342653
31	0.756990	0.315894
32	0.727028	0.318006
33	0.731516	0.270243
34	0.785046	0.349290
35	0.704865	0.326364
36	0.619931	0.351795
37	0.634404	0.313748
38	0.723775	0.316658
39	0.604152	0.365618
40	0.642017	0.310875
41	0.695694	0.293872
42	0.648222	0.320903
43	0.654089	0.333417
44	0.670547	0.298527
45	0.679901	0.273101
46	0.574542	0.333211
47	0.607077	0.317405
48	0.682422	0.302887
49	0.602015	0.321472
50	0.644444	0.332650
51	0.735477	0.292622
52	0.635419	0.310310
53	0.651203	0.298014
54	0.615158	0.292286
55	0.600392	0.293499
56	0.569902	0.334698
57	0.571564	0.295969
58	0.557390	0.269754
59	0.497098	0.335823
60	0.551138	0.295202
61	0.578403	0.302066
62	0.524774	0.335199
63	0.538512	0.295360
64	0.562585	0.300750
65	0.539515	0.287179
66	0.599127	0.287437
67	0.585245	0.310811
68	0.450633	0.315116
69	0.431492	0.289376
70	0.471580	0.306949
71	0.466377	0.308137
72	0.564170	0.286003
73	0.512644	0.288839
74	0.559461	0.259829
75	0.502924	0.286133
76	0.394359	0.288621
77	0.491820	0.305754
78	0.464389	0.295091
79	0.445047	0.293948
80	0.512378	0.261615
81	0.474141	0.235988
82	0.446537	0.281249
83	0.412697	0.323515
84	0.435977	0.283683
85	0.433491	0.248456
86	0.441048	0.263504
87	0.495211	0.286614
88	0.447768	0.318684
89	0.395853	0.340165
90	0.434679	0.276534
91	0.393866	0.301677
92	0.420068	0.320776
93	0.349066	0.314420
94	0.416717	0.279834
95	0.379452	0.310669
96	0.415106	0.294379
97	0.426357	0.270817
98	0.429622	0.261929
99	0.390135	0.273369
