timestep	normalized_wasserstein	kl_divergence
0	2.253079	1.883976
1	1.482978	0.761033
2	1.727715	0.712881
3	1.450889	0.635125
4	1.469505	0.553073
5	1.437759	0.531054
6	1.516804	0.460104
7	1.429424	0.447088
8	1.269999	0.395918
9	1.162224	0.424925
10	1.150713	0.418567
11	1.221435	0.380817
12	1.186361	0.401566
13	1.213953	0.412098
14	1.099569	0.385021
15	1.152631	0.417959
16	1.162431	0.432143
17	1.044473	0.400581
18	1.068516	0.436779
19	1.050561	0.407961
20	1.083232	0.388611
21	0.990697	0.366250
22	0.966738	0.394102
23	1.034719	0.390519
24	0.907279	0.370988
25	0.888369	0.380168
26	0.849879	0.376095
27	0.841188	0.356777
28	0.993916	0.372187
29	0.928860	0.385658
30	0.795613	0.363306
31	0.854124	0.364076
32	0.879261	0.337230
33	0.879198	0.344086
34	0.906241	0.419217
35	0.876116	0.368242
36	0.728862	0.378246
37	0.759865	0.338155
38	0.879756	0.374604
39	0.788479	0.391620
40	0.767433	0.363333
41	0.797210	0.361534
42	0.848526	0.364595
43	0.781175	0.370923
44	0.817361	0.364987
45	0.807673	0.323379
46	0.680892	0.332453
47	0.761157	0.360913
48	0.772072	0.331281
49	0.686470	0.331569
50	0.757237	0.376585
51	0.797528	0.319780
52	0.723521	0.336759
53	0.759394	0.408363
54	0.745284	0.383862
55	0.690914	0.355318
56	0.691215	0.316652
57	0.669389	0.329586
58	0.664332	0.346960
59	0.629281	0.358066
60	0.659535	0.315887
61	0.672230	0.352876
62	0.638749	0.320661
63	0.695521	0.336540
64	0.657763	0.315522
65	0.670714	0.302407
66	0.663365	0.320775
67	0.696204	0.322137
68	0.546917	0.345181
69	0.535174	0.325374
70	0.555058	0.298123
71	0.550470	0.320584
72	0.653319	0.279254
73	0.632126	0.311301
74	0.690053	0.332836
75	0.654253	0.280816
76	0.558967	0.289400
77	0.623042	0.307009
78	0.541963	0.313567
79	0.563910	0.372692
80	0.613403	0.291055
81	0.577516	0.285271
82	0.502557	0.308561
83	0.507128	0.322663
84	0.559947	0.292200
85	0.536757	0.313800
86	0.513423	0.349796
87	0.565106	0.286943
88	0.537673	0.303186
89	0.460367	0.289444
90	0.459313	0.318043
91	0.474819	0.328038
92	0.493518	0.292634
93	0.437503	0.317602
94	0.493099	0.305303
95	0.454253	0.308473
96	0.479141	0.291379
97	0.439921	0.334081
98	0.494458	0.309966
99	0.463551	0.290152
