timestep	normalized_wasserstein	kl_divergence
0	2.230649	1.974015
1	1.685593	0.938862
2	2.339504	0.762285
3	1.911871	0.646426
4	1.712056	0.505224
5	1.618654	0.461994
6	1.634782	0.393418
7	1.507331	0.385391
8	1.266507	0.349929
9	1.181504	0.347066
10	1.165557	0.350803
11	1.336142	0.365762
12	1.242919	0.359589
13	1.282472	0.363041
14	1.129761	0.382843
15	1.216408	0.347564
16	1.068149	0.315837
17	0.970656	0.317671
18	1.041594	0.322356
19	1.028620	0.329367
20	1.047277	0.331914
21	0.868250	0.346470
22	0.852010	0.299013
23	0.853250	0.298283
24	0.808209	0.306888
25	0.791035	0.294916
26	0.784845	0.337708
27	0.742992	0.293589
28	0.793243	0.301781
29	0.792920	0.331992
30	0.663593	0.294354
31	0.749148	0.278952
32	0.728145	0.302907
33	0.738602	0.297547
34	0.791683	0.314958
35	0.707141	0.290667
36	0.616383	0.315814
37	0.627892	0.272154
38	0.770999	0.285474
39	0.646347	0.295796
40	0.663918	0.272538
41	0.717897	0.298912
42	0.680033	0.317742
43	0.632741	0.284449
44	0.702316	0.281780
45	0.750204	0.277977
46	0.581989	0.326287
47	0.595892	0.276650
48	0.643900	0.314146
49	0.604977	0.307473
50	0.669004	0.286708
51	0.707289	0.299733
52	0.655375	0.300370
53	0.634631	0.310572
54	0.668197	0.293971
55	0.665006	0.274333
56	0.578238	0.287592
57	0.609099	0.265576
58	0.559667	0.254184
59	0.510827	0.273998
60	0.555495	0.267929
61	0.595233	0.285601
62	0.604973	0.283043
63	0.585310	0.289097
64	0.537975	0.269659
65	0.583404	0.275485
66	0.603515	0.279201
67	0.609436	0.247441
68	0.520991	0.299710
69	0.527315	0.264705
70	0.511982	0.275114
71	0.530823	0.266402
72	0.637252	0.261238
73	0.616931	0.264520
74	0.610082	0.231044
75	0.549209	0.282079
76	0.511115	0.278617
77	0.569031	0.238701
78	0.494412	0.270526
79	0.547319	0.233398
80	0.588973	0.264651
81	0.541912	0.245760
82	0.516006	0.265110
83	0.505878	0.282083
84	0.531722	0.252759
85	0.549727	0.288505
86	0.531302	0.292045
87	0.574518	0.294932
88	0.517639	0.241876
89	0.484361	0.283884
90	0.508152	0.238674
91	0.480716	0.226844
92	0.504452	0.255601
93	0.445285	0.287758
94	0.530513	0.290815
95	0.491616	0.243977
96	0.518722	0.237133
97	0.455564	0.261987
98	0.534564	0.234851
99	0.444481	0.270957
