timestep	normalized_wasserstein	kl_divergence
0	2.528393	2.036394
1	1.889153	0.987022
2	2.261570	0.806132
3	1.766991	0.701709
4	1.850061	0.615249
5	1.928033	0.653053
6	1.935569	0.597046
7	1.781005	0.542764
8	1.673103	0.500779
9	1.490507	0.507640
10	1.511075	0.509108
11	1.592381	0.478474
12	1.528159	0.474481
13	1.510212	0.448675
14	1.421415	0.444106
15	1.457941	0.450568
16	1.375691	0.428932
17	1.272952	0.416448
18	1.252374	0.413548
19	1.323357	0.428665
20	1.306040	0.444222
21	1.145323	0.404773
22	1.080148	0.377884
23	1.153507	0.388982
24	1.100195	0.383564
25	1.050660	0.379552
26	1.018274	0.375490
27	0.979436	0.360702
28	1.028107	0.345940
29	1.050544	0.355154
30	0.863860	0.358918
31	0.984578	0.343374
32	0.974251	0.352079
33	1.003781	0.384577
34	1.045894	0.354295
35	0.916297	0.351630
36	0.826234	0.391152
37	0.856606	0.353492
38	0.970475	0.395894
39	0.913135	0.374970
40	0.927213	0.369553
41	0.875996	0.339268
42	0.881295	0.366054
43	0.848621	0.351625
44	0.896042	0.361697
45	0.871118	0.315487
46	0.746305	0.334921
47	0.834127	0.364509
48	0.822075	0.343134
49	0.803347	0.334137
50	0.787906	0.351406
51	0.837416	0.345375
52	0.820434	0.312636
53	0.772288	0.339233
54	0.803111	0.319293
55	0.748998	0.296794
56	0.704464	0.312148
57	0.740841	0.301531
58	0.679240	0.332962
59	0.654838	0.337717
60	0.673823	0.296376
61	0.732722	0.308985
62	0.681301	0.305738
63	0.679952	0.304952
64	0.697680	0.305626
65	0.694081	0.301184
66	0.796644	0.314215
67	0.778117	0.290294
68	0.593059	0.339573
69	0.582763	0.318005
70	0.624459	0.323687
71	0.603243	0.342636
72	0.729945	0.285365
73	0.714852	0.282367
74	0.735703	0.327908
75	0.684494	0.355702
76	0.590517	0.331815
77	0.655286	0.316107
78	0.597340	0.298845
79	0.608602	0.318399
80	0.667094	0.297920
81	0.586146	0.278789
82	0.536890	0.276503
83	0.569516	0.286188
84	0.621821	0.306679
85	0.594843	0.254098
86	0.567778	0.321217
87	0.662697	0.311512
88	0.584442	0.289656
89	0.509345	0.288145
90	0.553154	0.260416
91	0.545138	0.295648
92	0.493476	0.316763
93	0.462665	0.292812
94	0.551790	0.299706
95	0.510662	0.259749
96	0.535433	0.278468
97	0.479841	0.277995
98	0.518123	0.233583
99	0.459904	0.277987
