timestep	normalized_wasserstein	kl_divergence
0	2.426222	1.935730
1	1.846144	0.843356
2	2.315182	0.803095
3	1.691284	0.726205
4	1.806130	0.624589
5	1.650352	0.565860
6	1.765861	0.498670
7	1.606038	0.443178
8	1.437345	0.388641
9	1.352465	0.382831
10	1.311816	0.378943
11	1.491529	0.393505
12	1.391389	0.398742
13	1.415243	0.384018
14	1.397729	0.387730
15	1.379513	0.417416
16	1.322160	0.388279
17	1.270924	0.406958
18	1.253723	0.396693
19	1.349130	0.379896
20	1.342458	0.415241
21	1.264950	0.376644
22	1.132941	0.386016
23	1.223950	0.337757
24	1.134582	0.358991
25	1.105288	0.338531
26	1.063494	0.342729
27	0.971118	0.333168
28	1.136512	0.364713
29	1.088980	0.359861
30	0.983092	0.330042
31	1.057575	0.334050
32	0.981972	0.329911
33	1.047522	0.322875
34	1.089631	0.338350
35	1.024757	0.321763
36	0.846547	0.343307
37	0.872728	0.329505
38	1.011787	0.337934
39	0.862875	0.329371
40	0.873389	0.326248
41	0.857107	0.331671
42	0.903845	0.361030
43	0.839939	0.324833
44	0.936915	0.315242
45	0.931464	0.309596
46	0.771341	0.350014
47	0.815220	0.309605
48	0.903206	0.372686
49	0.799300	0.300800
50	0.833875	0.337706
51	0.915125	0.356972
52	0.776216	0.296211
53	0.817005	0.304436
54	0.820302	0.299670
55	0.778097	0.305217
56	0.732595	0.359713
57	0.761731	0.292993
58	0.718237	0.304619
59	0.650512	0.275146
60	0.757517	0.319414
61	0.810137	0.320178
62	0.710816	0.318090
63	0.732265	0.305853
64	0.749147	0.301844
65	0.681955	0.300903
66	0.768331	0.285995
67	0.756786	0.290996
68	0.646627	0.302857
69	0.621278	0.317987
70	0.635362	0.333665
71	0.595000	0.318753
72	0.749973	0.305496
73	0.731021	0.280135
74	0.747329	0.295341
75	0.715979	0.300714
76	0.652765	0.318866
77	0.722228	0.293511
78	0.661530	0.308900
79	0.705714	0.338386
80	0.765778	0.250223
81	0.623341	0.276033
82	0.649370	0.271146
83	0.612134	0.297200
84	0.638109	0.271034
85	0.649171	0.310577
86	0.628799	0.275130
87	0.669065	0.286896
88	0.632897	0.287156
89	0.560819	0.318744
90	0.556369	0.315563
91	0.553346	0.310012
92	0.584720	0.252874
93	0.539306	0.325313
94	0.604691	0.287105
95	0.519062	0.233719
96	0.606647	0.281277
97	0.545818	0.275262
98	0.566037	0.242524
99	0.572394	0.299734
