timestep	normalized_wasserstein	kl_divergence
0	2.321819	2.268901
1	1.760270	1.021405
2	2.013482	0.806788
3	1.700560	0.701146
4	1.728179	0.566521
5	1.656761	0.508084
6	1.620146	0.439493
7	1.518093	0.377790
8	1.359544	0.367263
9	1.179400	0.340893
10	1.272377	0.417892
11	1.293504	0.367864
12	1.205825	0.394185
13	1.234425	0.345878
14	1.154302	0.394187
15	1.193746	0.366029
16	1.095881	0.367731
17	1.025694	0.386942
18	1.071686	0.365584
19	1.145411	0.346850
20	1.096844	0.344478
21	0.937828	0.342112
22	0.912905	0.313638
23	0.975170	0.344490
24	0.844271	0.272122
25	0.887324	0.321864
26	0.818142	0.335915
27	0.792568	0.302573
28	0.911014	0.297740
29	0.812869	0.309110
30	0.764031	0.319057
31	0.790593	0.294071
32	0.826237	0.294457
33	0.812893	0.301286
34	0.858473	0.351251
35	0.787849	0.322009
36	0.655132	0.302744
37	0.673520	0.333120
38	0.817657	0.296929
39	0.745142	0.318307
40	0.713409	0.308156
41	0.752363	0.314894
42	0.786636	0.318127
43	0.721822	0.337236
44	0.732278	0.359646
45	0.778846	0.294235
46	0.657924	0.299375
47	0.677192	0.311927
48	0.714696	0.288927
49	0.654248	0.292995
50	0.670539	0.341745
51	0.752225	0.271140
52	0.659731	0.304323
53	0.714944	0.297454
54	0.635328	0.295842
55	0.656286	0.290979
56	0.612755	0.255644
57	0.677265	0.297736
58	0.567602	0.302519
59	0.542067	0.292745
60	0.590512	0.272960
61	0.663423	0.329543
62	0.590069	0.314794
63	0.651931	0.283688
64	0.576276	0.281099
65	0.562860	0.270949
66	0.603972	0.261695
67	0.634229	0.327278
68	0.524272	0.294797
69	0.575039	0.311097
70	0.553016	0.298523
71	0.516143	0.295205
72	0.615774	0.251881
73	0.579603	0.240141
74	0.597188	0.266666
75	0.567765	0.270433
76	0.487573	0.296261
77	0.563612	0.246097
78	0.500045	0.279819
79	0.551632	0.244927
80	0.578727	0.300863
81	0.527965	0.240409
82	0.460511	0.277386
83	0.503018	0.270268
84	0.521044	0.263840
85	0.486470	0.279748
86	0.479298	0.278242
87	0.573030	0.291560
88	0.492835	0.275734
89	0.441644	0.293265
90	0.461388	0.262749
91	0.446090	0.299833
92	0.443194	0.326902
93	0.396003	0.277698
94	0.494587	0.279712
95	0.447164	0.290257
96	0.486726	0.262876
97	0.445972	0.285721
98	0.497471	0.250009
99	0.439190	0.261929
