timestep	normalized_wasserstein	kl_divergence
0	2.143349	1.785406
1	1.593277	1.028653
2	1.846261	0.761198
3	1.337890	0.693896
4	1.330201	0.549523
5	1.315979	0.448187
6	1.353973	0.377685
7	1.343080	0.384662
8	1.211801	0.353360
9	1.090229	0.389149
10	1.100642	0.400504
11	1.221881	0.394730
12	1.152381	0.429673
13	1.205459	0.392771
14	1.084908	0.372918
15	1.160410	0.377321
16	1.116747	0.418592
17	1.048112	0.374298
18	1.082983	0.395745
19	1.147400	0.387093
20	1.186138	0.388775
21	1.006271	0.359460
22	1.047677	0.368914
23	1.018696	0.364674
24	0.967020	0.367944
25	0.951391	0.352614
26	0.911589	0.369995
27	0.874452	0.374971
28	0.972122	0.343165
29	0.904054	0.327963
30	0.834923	0.315731
31	0.893171	0.341255
32	0.864530	0.312233
33	0.894755	0.311263
34	0.906226	0.313408
35	0.835218	0.301043
36	0.746825	0.313518
37	0.772543	0.316080
38	0.869770	0.299611
39	0.750402	0.321969
40	0.814131	0.328893
41	0.794344	0.312239
42	0.823220	0.346992
43	0.742464	0.305091
44	0.788965	0.340308
45	0.816926	0.310387
46	0.724611	0.302287
47	0.737713	0.331651
48	0.766565	0.320643
49	0.726343	0.288327
50	0.711219	0.316528
51	0.831978	0.325910
52	0.700090	0.266340
53	0.681750	0.296616
54	0.701036	0.319964
55	0.699120	0.316405
56	0.653708	0.288460
57	0.667320	0.305642
58	0.607738	0.296474
59	0.572108	0.272243
60	0.656428	0.291895
61	0.683198	0.310360
62	0.560362	0.312368
63	0.648049	0.276455
64	0.609366	0.300843
65	0.646196	0.313430
66	0.640693	0.310032
67	0.660535	0.298980
68	0.525356	0.290122
69	0.552074	0.293665
70	0.511052	0.295199
71	0.521144	0.308686
72	0.620046	0.290560
73	0.567480	0.309859
74	0.645077	0.277714
75	0.582278	0.290578
76	0.532949	0.273068
77	0.535040	0.246508
78	0.499859	0.294413
79	0.521062	0.303300
80	0.594936	0.300557
81	0.487989	0.290996
82	0.450076	0.293761
83	0.502914	0.272209
84	0.499431	0.283565
85	0.473508	0.286921
86	0.469071	0.268643
87	0.516081	0.274999
88	0.479906	0.258480
89	0.416089	0.274664
90	0.431539	0.348344
91	0.419431	0.302665
92	0.454836	0.323719
93	0.385029	0.327681
94	0.445187	0.300061
95	0.397299	0.316289
96	0.417359	0.311631
97	0.442251	0.296061
98	0.456397	0.278953
99	0.410009	0.287494
