timestep	normalized_wasserstein	kl_divergence
0	2.208067	1.644941
1	1.770716	0.714659
2	2.263714	0.765289
3	1.828479	0.778417
4	1.831461	0.706796
5	1.759279	0.635766
6	1.914939	0.616301
7	1.676624	0.508460
8	1.501966	0.436653
9	1.302288	0.441903
10	1.417081	0.433711
11	1.478791	0.434453
12	1.361263	0.407886
13	1.405320	0.404713
14	1.346234	0.403565
15	1.414072	0.389382
16	1.308341	0.396242
17	1.241617	0.405190
18	1.310208	0.398071
19	1.365553	0.415619
20	1.377447	0.366951
21	1.215868	0.421792
22	1.246885	0.389096
23	1.238107	0.358800
24	1.151797	0.358014
25	1.183015	0.381935
26	1.128922	0.364918
27	1.068566	0.367363
28	1.176308	0.372118
29	1.135147	0.354370
30	1.014203	0.351095
31	1.115805	0.332233
32	1.090060	0.351372
33	1.097592	0.314758
34	1.204820	0.387538
35	1.064411	0.362229
36	0.965424	0.343420
37	0.960661	0.313492
38	1.114242	0.381779
39	1.001755	0.341994
40	0.952252	0.331481
41	1.085476	0.354073
42	1.049809	0.338904
43	0.990016	0.327026
44	1.047551	0.358109
45	1.022172	0.342336
46	0.898610	0.316188
47	0.993193	0.360659
48	0.992711	0.372477
49	0.935513	0.347029
50	0.971109	0.325645
51	0.977817	0.320459
52	0.947636	0.345048
53	0.927086	0.306082
54	0.923732	0.311459
55	0.908995	0.358041
56	0.862135	0.309991
57	0.897316	0.316391
58	0.778152	0.313771
59	0.752297	0.315691
60	0.813460	0.337011
61	0.837885	0.294477
62	0.795769	0.290953
63	0.871256	0.311580
64	0.786263	0.286089
65	0.789479	0.296019
66	0.881728	0.319752
67	0.883588	0.299370
68	0.687832	0.321699
69	0.749698	0.327641
70	0.708328	0.296866
71	0.665091	0.296528
72	0.808927	0.294350
73	0.750269	0.276995
74	0.804338	0.315616
75	0.751419	0.288835
76	0.669136	0.317937
77	0.726732	0.319000
78	0.673356	0.301828
79	0.691556	0.287342
80	0.750015	0.294403
81	0.664984	0.289416
82	0.657126	0.281991
83	0.612521	0.319931
84	0.657471	0.265314
85	0.642609	0.268054
86	0.655991	0.272667
87	0.660945	0.291653
88	0.620794	0.321318
89	0.583259	0.281274
90	0.607576	0.303444
91	0.543459	0.300172
92	0.608798	0.263922
93	0.530616	0.318679
94	0.561245	0.280366
95	0.521096	0.269879
96	0.557847	0.249273
97	0.537345	0.290305
98	0.570601	0.262374
99	0.536409	0.298111
