timestep	normalized_wasserstein	kl_divergence
0	2.162286	1.745744
1	1.579578	0.833622
2	1.982160	0.689604
3	1.781330	0.665747
4	1.654011	0.534640
5	1.584962	0.506286
6	1.532483	0.477602
7	1.384443	0.393589
8	1.181038	0.388278
9	1.075962	0.389175
10	1.037419	0.386104
11	1.173637	0.378266
12	1.061937	0.381573
13	1.083801	0.363689
14	1.013658	0.353235
15	1.065966	0.384899
16	1.007542	0.353489
17	0.965795	0.327538
18	0.936250	0.329136
19	0.962715	0.301798
20	1.038099	0.332067
21	0.858879	0.314758
22	0.804783	0.344979
23	0.863515	0.307613
24	0.836698	0.303513
25	0.806925	0.297632
26	0.779165	0.291405
27	0.729391	0.284882
28	0.797310	0.302598
29	0.764636	0.331959
30	0.708324	0.305620
31	0.727779	0.263208
32	0.692603	0.292578
33	0.742509	0.286159
34	0.784749	0.294668
35	0.725732	0.290765
36	0.618824	0.288519
37	0.650465	0.301904
38	0.773690	0.258426
39	0.670219	0.279210
40	0.668001	0.291428
41	0.703280	0.323532
42	0.732898	0.299530
43	0.651192	0.273391
44	0.678786	0.302644
45	0.727420	0.259693
46	0.605617	0.290002
47	0.622358	0.276253
48	0.713982	0.307136
49	0.642385	0.285886
50	0.663172	0.318242
51	0.732190	0.293712
52	0.607689	0.258956
53	0.613654	0.300258
54	0.636958	0.323870
55	0.630103	0.288656
56	0.567511	0.270760
57	0.611985	0.301931
58	0.581737	0.268481
59	0.544434	0.298923
60	0.579585	0.252715
61	0.625529	0.299571
62	0.556149	0.302367
63	0.578386	0.251986
64	0.610805	0.309084
65	0.544135	0.269665
66	0.625112	0.255426
67	0.615630	0.278780
68	0.462013	0.263905
69	0.522472	0.271197
70	0.525458	0.268900
71	0.507376	0.265882
72	0.633523	0.231006
73	0.562519	0.273124
74	0.644811	0.249398
75	0.587785	0.252778
76	0.507232	0.237285
77	0.570755	0.265094
78	0.498825	0.288337
79	0.505813	0.280871
80	0.583958	0.215420
81	0.496626	0.284793
82	0.494745	0.250714
83	0.506278	0.274557
84	0.509594	0.257310
85	0.516131	0.256037
86	0.487738	0.248378
87	0.535357	0.244260
88	0.503414	0.267322
89	0.461422	0.251868
90	0.440727	0.251032
91	0.450604	0.281495
92	0.462920	0.284546
93	0.454095	0.265141
94	0.483722	0.277210
95	0.459522	0.270835
96	0.412582	0.315826
97	0.445284	0.266573
98	0.525250	0.249429
99	0.421457	0.284170
