timestep	normalized_wasserstein	kl_divergence
0	2.149915	1.822302
1	1.672860	0.842135
2	2.020118	0.765413
3	1.578507	0.672470
4	1.469525	0.556830
5	1.508705	0.542720
6	1.619371	0.502499
7	1.480071	0.446287
8	1.380022	0.415087
9	1.242647	0.411181
10	1.281683	0.419059
11	1.366131	0.397306
12	1.289917	0.405181
13	1.292067	0.381126
14	1.286549	0.373226
15	1.207414	0.388149
16	1.185619	0.379134
17	1.112984	0.379009
18	1.109192	0.346746
19	1.141116	0.353051
20	1.151727	0.365589
21	1.009091	0.336184
22	0.968602	0.311655
23	0.964305	0.300913
24	0.872588	0.330351
25	0.976124	0.340566
26	0.877714	0.313822
27	0.832070	0.296397
28	0.953150	0.320548
29	0.900398	0.315699
30	0.768071	0.276002
31	0.800770	0.330986
32	0.829980	0.288588
33	0.849292	0.258755
34	0.890910	0.297899
35	0.847457	0.286376
36	0.719207	0.292834
37	0.751878	0.289286
38	0.866476	0.288377
39	0.730120	0.333339
40	0.746125	0.307505
41	0.807070	0.297429
42	0.786464	0.311022
43	0.723273	0.260442
44	0.747677	0.275433
45	0.804544	0.250592
46	0.613424	0.289779
47	0.724866	0.275527
48	0.736123	0.353540
49	0.675594	0.301356
50	0.718430	0.305922
51	0.720269	0.291514
52	0.692912	0.325585
53	0.699894	0.274937
54	0.639568	0.292247
55	0.615797	0.241630
56	0.617964	0.265148
57	0.610000	0.264329
58	0.565691	0.310183
59	0.538826	0.276171
60	0.587842	0.256858
61	0.632471	0.260335
62	0.555109	0.287420
63	0.567049	0.242032
64	0.530573	0.245487
65	0.563246	0.301296
66	0.615937	0.242097
67	0.619853	0.285334
68	0.476340	0.270517
69	0.522211	0.253398
70	0.490865	0.240134
71	0.482755	0.272310
72	0.621388	0.245394
73	0.541613	0.245061
74	0.585406	0.282893
75	0.532856	0.231118
76	0.481810	0.248146
77	0.480438	0.272787
78	0.428519	0.242678
79	0.498795	0.229225
80	0.509435	0.232965
81	0.456833	0.212705
82	0.487731	0.245773
83	0.423486	0.257947
84	0.462558	0.226969
85	0.482116	0.270417
86	0.459920	0.231761
87	0.494579	0.261793
88	0.490855	0.238605
89	0.395548	0.311039
90	0.443054	0.274503
91	0.397782	0.278041
92	0.439009	0.273902
93	0.392764	0.268061
94	0.454720	0.293957
95	0.412822	0.233227
96	0.427967	0.273219
97	0.414093	0.277412
98	0.439711	0.241596
99	0.404269	0.250644
